"ID","Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","Var_1","Segmentation"
1,"Male","No",22,"No","Healthcare",1,"Low",4,"Cat_4","D"
2,"Female","Yes",38,"Yes","Engineer",3,"Average",3,"Cat_4","A"
3,"Female","Yes",67,"Yes","Engineer",1,"Low",1,"Cat_6","B"
4,"Male","Yes",67,"Yes","Lawyer",0,"High",2,"Cat_6","B"
5,"Female","Yes",40,"Yes","Entertainment",3,"High",6,"Cat_6","A"
6,"Male","Yes",56,"No","Artist",0,"Average",2,"Cat_6","C"
7,"Male","No",32,"Yes","Healthcare",1,"Low",3,"Cat_6","C"
8,"Female","No",33,"Yes","Healthcare",1,"Low",3,"Cat_6","D"
9,"Female","Yes",61,"Yes","Engineer",0,"Low",3,"Cat_7","D"
10,"Female","Yes",55,"Yes","Artist",1,"Average",4,"Cat_6","C"
11,"Female","No",26,"Yes","Engineer",1,"Low",3,"Cat_6","A"
12,"Male","No",19,"No","Healthcare",4,"Low",4,"Cat_4","D"
13,"Female","No",19,"No","Executive",0,"Low",3,"Cat_3","D"
14,"Male","Yes",70,"No","Lawyer",3,"Low",1,"Cat_6","A"
15,"Female","Yes",58,"No","Doctor",0,"Low",1,"Cat_3","B"
16,"Female","No",41,"No","Healthcare",1,"Low",2,"Cat_1","C"
17,"Female","No",32,"No","Homemaker",9,"Low",5,"Cat_3","D"
18,"Male","No",31,"No","Healthcare",1,"Low",6,"Cat_6","B"
19,"Male","Yes",58,"Yes","Entertainment",1,"Average",4,"Cat_6","B"
20,"Female","Yes",79,"Yes","Artist",0,"High",1,"Cat_6","C"
21,"Male","Yes",49,"Yes","Homemaker",12,"Low",1,"Cat_3","A"
22,"Female","No",18,"No","Healthcare",3,"Low",4,"Cat_6","D"
23,"Male","Yes",33,"Yes","Artist",13,"Low",2,"Cat_3","A"
24,"Female","No",36,"Yes","Artist",5,"Low",2,"Cat_6","B"
25,"Male","Yes",56,"No","Artist",1,"Average",3,"Cat_6","C"
26,"Male","No",31,"No","Healthcare",9,"Low",8,"Cat_4","A"
27,"Male","Yes",49,"Yes","Artist",1,"Average",3,"Cat_6","C"
28,"Male","No",35,"Yes","Artist",0,"Low",1,"Cat_6","B"
29,"Female","No",35,"No","Artist",5,"Low",4,"Cat_6","C"
30,"Female","Yes",45,"Yes","Artist",0,"Low",3,"Cat_6","C"
31,"Female","Yes",42,"No","Doctor",1,"Low",2,"Cat_4","A"
32,"Male","No",19,"No","Healthcare",1,"Low",3,"Cat_2","D"
33,"Male","No",26,"No","Homemaker",9,"Low",3,"Cat_6","D"
34,"Female","Yes",83,"No","Lawyer",1,"High",2,"Cat_6","D"
35,"Female","No",27,"Yes","Healthcare",3,"Low",4,"Cat_1","D"
36,"Male","No",32,"No","Doctor",5,"Low",1,"Cat_4","D"
37,"Female","Yes",28,"No","Healthcare",1,"Average",5,"Cat_3","D"
38,"Female","Yes",28,"Yes","Artist",8,"Low",2,"Cat_6","A"
39,"Male","Yes",56,"Yes","Artist",3,"Average",2,"Cat_6","C"
40,"Female","No",47,"Yes","Artist",4,"Low",1,"Cat_6","B"
41,"Female","No",22,"No","Healthcare",0,"Low",2,"Cat_6","D"
42,"Female","No",27,"Yes","Artist",14,"Low",3,"Cat_6","A"
43,"Male","Yes",40,"No","Engineer",8,"Low",1,"Cat_6","A"
44,"Female","Yes",79,"No","Lawyer",3,"High",2,"Cat_6","A"
45,"Male","Yes",41,"Yes","Artist",0,"Average",4,"Cat_4","B"
46,"Female","No",29,"Yes","Healthcare",3,"Low",1,"Cat_7","A"
47,"Male","No",19,"No","Healthcare",0,"Low",4,"Cat_6","D"
48,"Female","No",45,"Yes","Engineer",1,"Low",1,"Cat_6","A"
49,"Female","Yes",61,"No","Artist",1,"Average",2,"Cat_2","B"
50,"Female","Yes",36,"Yes","Artist",1,"Average",2,"Cat_6","C"
51,"Male","Yes",40,"Yes","Artist",1,"Low",1,"Cat_3","A"
52,"Female","Yes",57,"Yes","Entertainment",0,"Average",2,"Cat_6","C"
53,"Male","Yes",76,"No","Marketing",1,"Low",1,"Cat_4","A"
54,"Male","Yes",32,"Yes","Artist",14,"Average",2,"Cat_6","B"
55,"Male","No",25,"Yes","Healthcare",9,"Low",4,"Cat_6","D"
56,"Female","Yes",45,"Yes","Artist",1,"Average",3,"Cat_3","C"
57,"Male","Yes",72,"Yes","Lawyer",1,"Low",3,"Cat_4","D"
58,"Male","Yes",48,"Yes","Artist",0,"Average",2,"Cat_6","C"
59,"Male","Yes",55,"Yes","Artist",9,"Average",2,"Cat_1","C"
60,"Male","Yes",74,"Yes","Lawyer",0,"High",3,"Cat_6","D"
61,"Male","Yes",56,"Yes","Lawyer",1,"High",2,"Cat_6","A"
62,"Male","Yes",59,"Yes","Lawyer",7,"High",2,"Cat_6","A"
63,"Male","No",25,"Yes","Entertainment",0,"Low",2,"Cat_6","A"
64,"Male","Yes",31,"Yes","Doctor",0,"Average",2,"Cat_6","A"
65,"Male","No",27,"No","Artist",8,"Low",4,"Cat_6","A"
66,"Male","Yes",57,"Yes","Artist",0,"Average",4,"Cat_6","B"
67,"Female","Yes",39,"Yes","Homemaker",3,"High",2,"Cat_6","A"
68,"Male","Yes",27,"Yes","Healthcare",8,"Low",2,"Cat_6","D"
69,"Female","Yes",51,"Yes","Entertainment",8,"Average",2,"Cat_6","A"
70,"Female","Yes",47,"No","Artist",0,"Average",5,"Cat_6","B"
71,"Female","No",33,"No","Healthcare",8,"Low",4,"Cat_6","D"
72,"Male","Yes",56,"Yes","Artist",0,"Average",4,"Cat_6","C"
73,"Female","No",33,"No","Homemaker",0,"Low",3,"Cat_6","B"
74,"Female","No",36,"Yes","Doctor",0,"Low",2,"Cat_6","D"
75,"Male","Yes",51,"No","Artist",4,"Low",3,"Cat_4","A"
76,"Male","Yes",45,"Yes","Engineer",2,"Average",2,"Cat_6","C"
77,"Male","No",30,"No","Healthcare",0,"Low",4,"Cat_6","C"
78,"Female","No",26,"No","Healthcare",6,"Low",3,"Cat_5","D"
79,"Male","Yes",63,"Yes","Artist",8,"Low",1,"Cat_6","A"
80,"Male","Yes",35,"No","Entertainment",8,"Average",4,"Cat_3","B"
81,"Female","No",19,"No","Marketing",1,"Low",3,"Cat_4","A"
82,"Male","No",32,"No","Healthcare",7,"Low",5,"Cat_6","D"
83,"Male","Yes",52,"Yes","Artist",0,"Average",3,"Cat_6","C"
84,"Female","Yes",36,"Yes","Artist",5,"Low",2,"Cat_6","C"
85,"Female","No",42,"No","Entertainment",7,"Low",3,"Cat_4","D"
86,"Male","Yes",40,"No","Doctor",0,"Average",2,"Cat_3","D"
87,"Male","No",39,"Yes","Entertainment",0,"Low",3,"Cat_1","B"
88,"Female","Yes",47,"Yes","Artist",1,"Average",4,"Cat_3","C"
89,"Female","Yes",61,"Yes","Artist",1,"High",2,"Cat_6","C"
90,"Male","Yes",32,"No","Entertainment",1,"Low",2,"Cat_3","D"
91,"Male","Yes",55,"No","Artist",0,"Low",1,"Cat_6","B"
92,"Male","Yes",58,"Yes","Artist",3,"Average",1,"Cat_6","D"
93,"Female","No",38,"Yes","Artist",0,"Low",1,"Cat_6","D"
94,"Male","Yes",63,"Yes","Artist",0,"High",2,"Cat_6","C"
95,"Male","Yes",58,"Yes","Doctor",1,"Average",2,"Cat_6","C"
96,"Male","Yes",30,"No","Engineer",3,"Average",3,"Cat_4","D"
97,"Male","Yes",60,"Yes","Artist",0,"Average",4,"Cat_6","C"
98,"Male","Yes",68,"No","Executive",1,"High",7,"Cat_6","B"
99,"Male","Yes",52,"No","Artist",0,"Low",3,"Cat_4","A"
100,"Male","Yes",38,"No","Executive",0,"High",5,"Cat_6","A"
101,"Female","Yes",35,"Yes","Healthcare",10,"Low",2,"Cat_6","B"
102,"Male","No",18,"No","Doctor",1,"Low",2,"Cat_6","D"
103,"Male","Yes",30,"Yes","Homemaker",3,"Low",2,"Cat_1","D"
