"Age","Work_Experience","Family_Size","Segmentation","Gender (to number)","Ever_Married (to number)","Graduated (to number)","Profession (to number)","Spending_Score (to number)","Var_1 (to number)","Segmentation (to number)","ID"
22,1,4,"D",0,0,0,0,0,0,0,1
67,1,1,"B",1,1,1,1,0,1,2,2
67,0,2,"B",0,1,1,2,2,1,2,3
56,0,2,"C",0,1,0,4,1,1,3,4
32,1,3,"C",0,0,1,0,0,1,3,5
33,1,3,"D",1,0,1,0,0,1,0,6
61,0,3,"D",1,1,1,1,0,2,0,7
55,1,4,"C",1,1,1,4,1,1,3,8
26,1,3,"A",1,0,1,1,0,1,1,9
19,4,4,"D",0,0,0,0,0,0,0,10
58,0,1,"B",1,1,0,6,0,3,2,11
41,1,2,"C",1,0,0,0,0,4,3,12
32,9,5,"D",1,0,0,7,0,3,0,13
31,1,6,"B",0,0,0,0,0,1,2,14
58,1,4,"B",0,1,1,3,1,1,2,15
79,0,1,"C",1,1,1,4,2,1,3,16
49,12,1,"A",0,1,1,7,0,3,1,17
18,3,4,"D",1,0,0,0,0,1,0,18
33,13,2,"A",0,1,1,4,0,3,1,19
36,5,2,"B",1,0,1,4,0,1,2,20
56,1,3,"C",0,1,0,4,1,1,3,21
31,9,8,"A",0,0,0,0,0,0,1,22
49,1,3,"C",0,1,1,4,1,1,3,23
35,0,1,"B",0,0,1,4,0,1,2,24
35,5,4,"C",1,0,0,4,0,1,3,25
45,0,3,"C",1,1,1,4,0,1,3,26
42,1,2,"A",1,1,0,6,0,0,1,27
19,1,3,"D",0,0,0,0,0,5,0,28
83,1,2,"D",1,1,0,2,2,1,0,29
27,3,4,"D",1,0,1,0,0,4,0,30
32,5,1,"D",0,0,0,6,0,0,0,31
28,1,5,"D",1,1,0,0,1,3,0,32
28,8,2,"A",1,1,1,4,0,1,1,33
47,4,1,"B",1,0,1,4,0,1,2,34
22,0,2,"D",1,0,0,0,0,1,0,35
27,14,3,"A",1,0,1,4,0,1,1,36
40,8,1,"A",0,1,0,1,0,1,1,37
41,0,4,"B",0,1,1,4,1,0,2,38
19,0,4,"D",0,0,0,0,0,1,0,39
45,1,1,"A",1,0,1,1,0,1,1,40
61,1,2,"B",1,1,0,4,1,5,2,41
36,1,2,"C",1,1,1,4,1,1,3,42
40,1,1,"A",0,1,1,4,0,3,1,43
57,0,2,"C",1,1,1,3,1,1,3,44
76,1,1,"A",0,1,0,8,0,0,1,45
32,14,2,"B",0,1,1,4,1,1,2,46
25,9,4,"D",0,0,1,0,0,1,0,47
45,1,3,"C",1,1,1,4,1,3,3,48
48,0,2,"C",0,1,1,4,1,1,3,49
55,9,2,"C",0,1,1,4,1,4,3,50
74,0,3,"D",0,1,1,2,2,1,0,51
56,1,2,"A",0,1,1,2,2,1,1,52
59,7,2,"A",0,1,1,2,2,1,1,53
25,0,2,"A",0,0,1,3,0,1,1,54
31,0,2,"A",0,1,1,6,1,1,1,55
27,8,4,"A",0,0,0,4,0,1,1,56
57,0,4,"B",0,1,1,4,1,1,2,57
27,8,2,"D",0,1,1,0,0,1,0,58
51,8,2,"A",1,1,1,3,1,1,1,59
47,0,5,"B",1,1,0,4,1,1,2,60
33,8,4,"D",1,0,0,0,0,1,0,61
56,0,4,"C",0,1,1,4,1,1,3,62
33,0,3,"B",1,0,0,7,0,1,2,63
36,0,2,"D",1,0,1,6,0,1,0,64
51,4,3,"A",0,1,0,4,0,0,1,65
45,2,2,"C",0,1,1,1,1,1,3,66
30,0,4,"C",0,0,0,0,0,1,3,67
26,6,3,"D",1,0,0,0,0,6,0,68
63,8,1,"A",0,1,1,4,0,1,1,69
35,8,4,"B",0,1,0,3,1,3,2,70
19,1,3,"A",1,0,0,8,0,0,1,71
32,7,5,"D",0,0,0,0,0,1,0,72
52,0,3,"C",0,1,1,4,1,1,3,73
36,5,2,"C",1,1,1,4,0,1,3,74
42,7,3,"D",1,0,0,3,0,0,0,75
40,0,2,"D",0,1,0,6,1,3,0,76
39,0,3,"B",0,0,1,3,0,4,2,77
47,1,4,"C",1,1,1,4,1,3,3,78
61,1,2,"C",1,1,1,4,2,1,3,79
32,1,2,"D",0,1,0,3,0,3,0,80
55,0,1,"B",0,1,0,4,0,1,2,81
38,0,1,"D",1,0,1,4,0,1,0,82
63,0,2,"C",0,1,1,4,2,1,3,83
58,1,2,"C",0,1,1,6,1,1,3,84
30,3,3,"D",0,1,0,1,1,0,0,85
60,0,4,"C",0,1,1,4,1,1,3,86
68,1,7,"B",0,1,0,5,2,1,2,87
52,0,3,"A",0,1,0,4,0,0,1,88
38,0,5,"A",0,1,0,5,2,1,1,89
35,10,2,"B",1,1,1,0,0,1,2,90
18,1,2,"D",0,0,0,6,0,1,0,91
30,3,2,"D",0,1,1,7,0,4,0,92
86,1,1,"D",0,0,0,2,0,1,0,93
25,9,3,"D",0,0,0,0,0,1,0,94
39,0,1,"A",1,0,1,4,0,1,1,95
47,1,1,"C",0,0,1,4,0,1,3,96
43,0,3,"D",0,1,1,5,2,1,0,97
36,8,4,"B",0,1,0,5,1,4,2,98
80,1,1,"D",0,1,0,2,0,1,0,99
36,0,2,"C",0,0,1,4,0,5,3,100
37,1,2,"A",1,1,1,4,2,2,1,101
46,0,3,"C",0,1,1,5,2,1,3,102
55,1,4,"B",0,1,0,5,2,3,2,103
47,9,4,"B",1,1,0,1,1,0,2,104
28,1,3,"D",1,0,1,0,0,3,0,105
39,9,2,"D",0,1,0,3,0,3,0,106
27,1,2,"A",1,1,0,8,0,1,1,107
72,0,2,"C",0,1,1,4,1,1,3,108
28,0,2,"A",1,1,1,1,0,1,1,109
35,8,5,"C",0,0,1,3,0,1,3,110
39,9,5,"A",0,1,1,5,2,5,1,111
